Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Access Type,Source,EID
"Stuiver M., Reimer P.J., Reimer R.","",[No title available],2005,"CALIB Radiocarbon Calibration",,,,"","",,349,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33845751810
"Swanton J.R.","","Source Material on the History and Ethnology of the Caddo Indians, Bureau of American Ethnology Bulletin",1942,"Source Material on the History and Ethnology of the Caddo Indians",,,,"","",,50,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542604798
"Carter C.E.","",[No title available],1995,"Caddo Indians: Where We Come from",,,,"","",,28,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33748350072
"Bolton H.E.","",[No title available],1987,"The Hasinais: Southern Caddoans As Seen by the Earliest Europeans",,,,"","",,26,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0040266079
"Schambach F.F.","","Mounds, Embankments, and Ceremonialism in the Trans-Mississippi South",1996,"Mounds, Embankments, and Ceremonialism in the Midsouth","46",,,"36","43",,22,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-69549099380
"Jeter M.D.","",[No title available],1990,"Edward Palmer's Arkansaw Mounds",,,,"","",,21,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-0013219686
"Kay M., Sabo III G.","14043758800;15052255900;","Mortuary ritual and winter solstice imagery of the harlan-style charnel house",2006,"Southeastern Archaeology","25","1",,"29","47",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750598922&partnerID=40&md5=0199f451db96db27175c1e08b4f45c99","A fundamental metaphor of Southeastern Indian belief was expressed by the structural relationship death:winter. Archaeological data and documentary accounts illuminate this relationship and demonstrate a widespread cognitive lore about the marking of the seasons by use of the sun and possibly other celestial bodies. The apparent timing of pre-contact mortuary ceremonialism with the winter solstice sunset consistent with Caddoan winter death imagery reflects a local manifestation of the North American Orpheus myth.",,"archaeology; cultural history; cultural tradition; documentary source",,Article,"Final",,Scopus,2-s2.0-33750598922
"Harrington M.R.","","Certain Caddo sites in Arkansas",1920,"Certain Caddo Sites in Arkansas",,,,"","",,16,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344443035
"Perttula T.K.","6508386711;","Extended entranceway structures in the Caddo archaeological area",2009,"Southeastern Archaeology","28","1",,"27","40",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-69549126885&partnerID=40&md5=79b3b8c2b582ea8a89eafaef52e660ed","The construction and use of extended entranceway structures from the western Ozark Highlands to east Texas illustrates the existence of a shared tradition of specialized buildings among Caddo peoples. Even within this one shared architectural tradition there are three geographically distinct patterns in the shape of the specialized buildings and the orientation of their extended entranceways. These geographic differences may reflect the existence of diverse Caddo beliefs on mortuary rituals and cosmological symbolism as well as site-specific decisions on the place of specialized buildings within living communities.",,"archaeology; building; cultural tradition; symbolism; North America; Ozark Mountains; Texas; United States",,Article,"Final",,Scopus,2-s2.0-69549126885
"Early A.M.","","Caddoan Saltmakers in the Ouachita Valley: The Hardman Site",1993,"Caddoan Saltmakers in the Ouachita Valley: The Hardman Site",,,,"","",,15,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-1542709770
"Perttula T.K.","6508386711;","1938-1939 WPA excavations at the Hatchel site (41BW3) on the Red River in Bowie county, Texas",2005,"Southeastern Archaeology","24","2",,"180","198",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344443567&partnerID=40&md5=85a59fffcc3a5125aa0dc9ec61fb7b5c","The 1938-39 excavations in the village areas at the Hatchel site (41BW3) along the Red River in northeastern Texas have not been previously published or the findings made widely available to the archaeological community. This work exposed large blocks in Late Caddoan period, Texarkana phase (ca. A.D. 1400-1700) archaeological deposits in the Nasoni Caddo village. There were hundreds of post holes, structures, midden deposits, and burials in these village areas that appear to be part of individual Caddo farm compounds.",,"archaeological evidence; farming system; Bowie County; North America; Texas; United States",,Article,"Final",,Scopus,2-s2.0-31344443567
"Perttula T.K.","6508386711;","Caddoan area archaeology since 1990",1996,"Journal of Archaeological Research","4","4",,"295","348",,10,"10.1007/BF02229090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030422588&doi=10.1007%2fBF02229090&partnerID=40&md5=372f4023bf08f4c8b7ef1540d22a6399","This paper summarizes recent archaeological research efforts, and changing perspectives, about the native history of the Caddo peoples who lived in the Caddoan Archaeological Area, which centers on the Great Bend of the Red River in Oklahoma, Texas, Arkansas, and Louisiana. Of particular focus are the origins and early developments of the Caddoan tradition, regional diversity, subsistence changes and agricultural intensification, sociopolitical dynamics, and Caddoan-European interaction.",,"agricultural intensification; archaeological evidence; Caddoan people; sociopolitical dynamics; Arkansas; Louisiana; Oklahoma; Red River; Texas; USA",,Article,"Final",,Scopus,2-s2.0-0030422588
"Jeter M.D., Early A.M.","","Prehistory of the Saline River Drainage Basin, Central to Southeast Arkansas",1999,"Arkansas Archaeology: Essays in Honor of Dan and Phyllis Morse",,,,"31","63",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649326166
"Bell R.E.","","Arkansas Valley Caddoan: The Harlan Phase",1984,"Prehistory of Oklahoma",,,,"221","240",,8,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-33746129787
"McConaughy M.A.","","A Comparison of Burned Mississippian Houses from Illinois",2007,"Architectural Variability in the Southeast",,,,"101","116",,6,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649323443
"Hoffman M.P.","","Ceramic Pipe Style Chronology along the Red River Drainage in Southwestern Arkansas",1967,"Arkansas Archeologist","8","1",,"4","14",,5,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-31344435561
"Palmer E.","","Arkansas Mounds",1917,"Publications of the Arkansas Historical Association","4",,,"390","448",,4,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649294503
[No author name available],[No author id available],"Two Caddoan Farmsteads in the Red River Valley: The Archeology of the McLelland and Joe Clark Sites",1997,"Research Series","51",,,"","",,3,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-43749099713
"Early A.M.","","Archeology, the Hedges Site, 3HS60",1974,"Field Notes","116",,,"3","5",,3,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649326478
"Wood W.R.","",[No title available],1963,"The Denham Mound: A Mid-Ouachita Focus Temple Mound in Hot Spring County.",,,,"","",,3,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-84857569230
"Brock A., Reynolds M.","","New Radiocarbon Dates from 3CL593",2007,"Field Notes","339",,,"10","11",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649305522
"Early A.M., Beth Trubitt M.","","The Caddo Indian Burial Ground (3MN386), Norman, Arkansas",2003,"Caddoan Archeology Journal","13","2",,"13","24",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649289209
[No author name available],[No author id available],"Cedar Grove: An Interdisciplinary Investigation of a Late Caddo Farmstead in the Red River Valley",1984,"Research Series","23",,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-43749087430
"Bohannon C.F.","","Excavations at the Mineral Springs Site, Howard County, Arkansas",1973,"Research Series","5",,,"","",,2,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649283439
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649332480
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649330672
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649330364
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649328809
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649322806
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649321302
[No author name available],[No author id available],[No title available],2010,,,,,"","",,1,,,[No abstract available],,,,,"Final",,Scopus,2-s2.0-77649317198
