Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Document Type,Publication Stage,Access Type,Source,EID
"Sahlins M.","",[No title available],1972,"Stone Age Economics",,,,"","",,3304,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0003942014
"O'Leary M.H.","","Carbon isotopes in photosynthesis",1988,"Bioscience","38",,,"328","336",,1462,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0001552846
"Lee-Thorp J.A.","7004460588;","On isotopes and old bones",2008,"Archaeometry","50","6",,"925","950",,340,"10.1111/j.1475-4754.2008.00441.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149113203&doi=10.1111%2fj.1475-4754.2008.00441.x&partnerID=40&md5=d696e5e4b785b308e82eaa4ded64a9a8","This review charts the developments and progress made in the application of stable light isotope tools to palaeodietary adaptations from the 1970s onwards. It begins with an outline of the main principles governing the distribution of stable light isotopes in foodwebs and the quality control issues specific to the calcified tissues used in these analyses, and then proceeds to describe the historical landmark studies that have marked major progress, either in their archaeological applications or in enhancing our understanding of the tools. They include the adoption of maize agriculture, marine-focused diets amongst coastal hunter-gatherers, trophic level amongst Glacial-period modern humans and Neanderthals, and the use of savannah resources by early hominins in Africa. Particular attention is given to the progress made in addressing the challenges that have arisen out of these studies, including issues related to the routing of dietary nutrients. I conclude with some firm, and some more speculative, pointers about where the field may be heading in the next decade or so. © 2008 University of Oxford.","Apatite; Bones; Collagen; Diet; Maize; Marine; Stable light isotopes; Teeth","apatite; archaeology; bone; food web; stable isotope; tooth; Zea mays",,,Review,"Final",,Scopus,2-s2.0-57149113203
"Passey B.H., Robinson T.F., Ayliffe L.K., Cerling T.E., Sphonheimer M., Dearing M.D., Roeder B.L., Ehleringer J.R.","6602726852;56250761700;6603692111;7005789667;8562111900;7003667252;7005654753;7005417981;","Carbon isotope fractionation between diet, breath CO2, and bioapatite in different mammals",2005,"Journal of Archaeological Science","32","10",,"1459","1470",,340,"10.1016/j.jas.2005.03.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22144498801&doi=10.1016%2fj.jas.2005.03.015&partnerID=40&md5=e2aa889b1a60d7cdbfda1abc689b616f","The carbon isotope fractionation between tooth enamel bioapatite, breath CO2, and diet was measured for voles, rabbits, pigs, and cattle on controlled diets. The measured fractionation (expressed as isotope enrichment ε*) between enamel and diet was 11.5 ± 0.3‰, 12.8 ± 0.7‰, 13.3 ± 0.3‰, and 14.6 ± 0.3‰ for these respective species. There is a 1:1 correlation between ε*breath-diet and ε*enamel-diet (r2 = 0.94, p &lt; 0.01), whereas our data do not resolve significant inter-species differences in ε*enamel-breath. These findings are consistent with the hypothesis that inter-species differences in ε*bioapatite-diet are primarily a result of differences in digestive physiology, rather than differences in the magnitude of fractionation between mineral and body fluid. © 2005 Elsevier Ltd. All rights reserved.","Carbon; Diet; Dietary reconstruction; Mammal; Methane; Stable isotopes","carbon isotope; Bos taurus; Mammalia; Muridae; Oryctolagus cuniculus","National Science Foundation, NSF

David and Lucile Packard Foundation","Numerous individuals helped with the enormous task of rearing and maintaining the animals, and with sample collections; we thank and are much indebted to Jordan Hammer, Brady Karren, Adam Petersen, Joe Henderson, Yasmin Rahman, Amy Markeson, Julie Allen, and Jessy Holyoak. We also thank Craig Cook and Mike Lott for providing analytical expertise and for managing the SIRFER stable isotope facility. This project was supported by the Packard Foundation and the National Science Foundation.",Article,"Final",,Scopus,2-s2.0-22144498801
"Kellner C.M., Schoeninger M.J.","18037824600;6701622166;","A simple carbon isotope model for reconstructing prehistoric human diet",2007,"American Journal of Physical Anthropology","133","4",,"1112","1127",,247,"10.1002/ajpa.20618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547477241&doi=10.1002%2fajpa.20618&partnerID=40&md5=175b27ed9911b813afd4c024a1481260","A compilation of experimental animal data shows that neither δ13Ccollgen nor δ13C apatite nor Δ13CCO-AP indicate diagnostic reconstructions of diet, diet energy and diet protein. In contrast, plots of Δ13Ccollagen against Δ13C apatite provide a model of three regression lines (C3, C4, and marine diet protein) where position on each line indicates the energy source (C3, C4, or mixed). Neither body size nor trophic position appears to affect these relationships. Modern free-ranging, terrestrial fauna do not fit the model perhaps because they, unlike the experimental fauna, mainly use fermentation rather than digestion during energy metabolism. Archaeological humans fall as expected based on associated floral and faunal evidence. Foraging people plot at positions expected from associated C3 fauna and plants. Those from Cahokia plot, as expected, from associated deer, nuts, and maize whereas people from nearby smaller sites plot in positions consistent with eating more fish. Agriculturists from Ontario and Grasshopper Pueblo plot consistent with dependence on fish by the former and on turkeys by the latter. In Tierra del Fuego, people from interior regions ate more terrestrial fauna, as suggested by ethnohistoric reports, than did people from the coast. In the Southwestern Cape in South Africa individuals late in the sequence have pure C3 diets whereas ones early in the sequence ate marine protein as suggested by independent archaeological evidence. People on San Nicolas Island depended on C4 plants in contrast to other islands off California's coast. This simple model provides more detailed and precise dietary information than do individual isotopic measures. © 2007 Wiley-Liss, Inc.","Diet reconstruction; Prehistoric human diet; Stable carbon isotopes","apatite; carbon; collagen; archeology; article; body size; caloric intake; deer; dietary intake; energy metabolism; energy resource; fauna; fermentation; flora; geographic distribution; human; maize; nonhuman; nut; population research; protein intake; South Africa; Animals; Carbon; Carbon Isotopes; Diet; Feeding Behavior; History, Ancient; Humans; Meat; Models, Biological",,,Article,"Final",,Scopus,2-s2.0-34547477241
"Ambrose S.H., Butler B.M., Hanson D.B., Hunter-Anderson R.L., Krueger H.W.","7005188866;7202035416;7201616364;6508187347;7102340057;","Stable isotopic analysis of human diet in the Marianas Archipelago, Western Pacific",1997,"American Journal of Physical Anthropology","104","3",,"343","361",,238,"10.1002/(SICI)1096-8644(199711)104:3<343::AID-AJPA5>3.0.CO;2-W","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030699347&doi=10.1002%2f%28SICI%291096-8644%28199711%29104%3a3%3c343%3a%3aAID-AJPA5%3e3.0.CO%3b2-W&partnerID=40&md5=985a433535bd227002c231857d203c5a","Proportions of marine vs. terrestrial resources in prehistoric human diets in the southern Mariana Islands (Guam; Rota, Saipan), Micronesia, have been estimated by analysis of stable isotope ratios of carbon and nitrogen in bone collagen and of carbon in apatite. The isotopic composition of marine and terrestrial food resources from the Marianas have also been determined. Experimental evidence shows that collagen carbon isotopes mainly reflect those of dietary protein sources and thus overestimate the contribution of marine animal foods. Marine protein consumption apparently ranges from ~20% to ~50% on these islands. Experiments also demonstrate the carbon isotope ratio of bone apatite carbonate accurately reflects that of the whole diet. Carbonate carbon isotope data suggest some individuals consumed significant amounts of 13C-enriched (C4) plants or seaweeds. Sugar cane is an indigenous C4 crop and seaweeds are eaten throughout the Pacific, but they have not been considered by archaeologists to have been prehistoric dietary staples. Apatite carbon isotope analysis has apparently identified previously unrecognized prehistoric dietary adaptations in the Mariana Islands, but this must be confirmed by archaeobotanical evidence.","Apatite; Archaeology; Carbon and nitrogen isotopes; Collagen; Micronesia; Paleodiet","archeology; conference paper; diet; Federated States of Micronesia; food chain; food composition; food intake; Guam; human; Pacific islands; protein intake; skeleton; Bone and Bones; Carbon Isotopes; Collagen; Diet; Female; History, Medieval; Humans; Male; Micronesia; Nitrogen Isotopes; Paleopathology",,,Conference Paper,"Final",,Scopus,2-s2.0-0030699347
"Tieszen L.L., Boutton T.W.","","Stable carbon isotopes in terrestrial ecosystem research",1989,"Stable Isotopes in Ecological Research",,,,"167","195",,229,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0000083443
"Bender M.M.","","Mass spectrometric studies of carbon 13 variations in corn and other grasses",1968,"Radiocarbon","10","2",,"468","472",,222,,,[No abstract available],,,,,,"Final",,Scopus,2-s2.0-0001341186
"Henderson S.A., Von Caemmerer S., Farquhar G.D.","","Short-term measurements of carbon isotope discrimination in several C4 species",1992,"Australian Journal of Plant Physiology","19",,,"263","285",,197,,,[No abstract available],,,,,,,,Scopus,2-s2.0-0000421043
"Ambrose S.H., Buikstra J., Krueger H.W.","7005188866;6701752370;7102340057;","Status and gender differences in diet at Mound 72, Cahokia, revealed by isotopic analysis of bone",2003,"Journal of Anthropological Archaeology","22","3",,"217","226",,170,"10.1016/S0278-4165(03)00036-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141761401&doi=10.1016%2fS0278-4165%2803%2900036-9&partnerID=40&md5=735002649aaeb82c52421d487b992344","Cahokia Mound 72 contains 272 human burials dating to the Lohmann and early Stirling phases (ca. 1050-1150 AD) of the Mississippian period. Substantial status- and gender-related differences in burial style are apparent. Some burials are associated with large quantities of prestigious grave goods, suggesting high status. Mass graves of young adult females with skeletal indicators of poor health suggest low status and nutritional stress. Nitrogen isotope ratios of bone collagen show that high status individuals ate much more animal protein, but carbon isotope ratios of collagen suggest these individuals ate only ca. 10% less maize than lower status individuals. Apatite carbon isotopes show low status females ate ca. 60% more maize than high status individuals, which confirms the large nitrogen isotope difference of females in mass graves. These results indicate high and low status individuals had significantly different diet compositions and nutritional qualities. The stable isotope evidence supports paleopathological data for status-related differences in health, and dental morphological data for presumed genetic differences in origin. These data also provide insights into the nutrition- and health-related dimension of regional hierarchical organization of settlements and social inequality of this complex chiefdom in the greater Cahokia region. © 2003 Elsevier Inc. All rights reserved.","Bioarchaeology; Bone chemistry; Cahokia; Carbon isotopes; Gender; Maize agriculture; Mississippian; Nitrogen isotopes; Paleodiet; Status",,"National Science Foundation, NSF: BNS 88-06389","This research was supported in part by NSF Grant BNS 88-06389 to Jane Buikstra. The Illinois State Museum generously provided access to the Mound 72 collection of human remains. We thank Tim Pauketat, Tom Emerson, Kris Hedman, and the reviewers for comments and suggestions. A preliminary version of this paper was presented at the 66th Annual Meeting of the Society for American Archaeology (April 2001) in the sponsored symposium “Pioneer in Paleodiet and the Radiocarbon Dating of Bone: Papers in Honor of Hal Krueger” organized by John Krigbaum and Stanley Ambrose.",Article,"Final",,Scopus,2-s2.0-0141761401
