Scopus-22-Analyze-Year

"Your query : (TITLE-ABS-KEY(caddo AND archaeology OR archeology) AND ( LIMIT-TO ( PUBYEAR,2019) OR LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2014) OR LIMIT-TO ( PUBYEAR,2013) OR LIMIT-TO ( PUBYEAR,2012) OR LIMIT-TO ( PUBYEAR,2011) OR LIMIT-TO ( PUBYEAR,2010) OR LIMIT-TO ( PUBYEAR,2009) OR LIMIT-TO ( PUBYEAR,2008) OR LIMIT-TO ( PUBYEAR,2007) OR LIMIT-TO ( PUBYEAR,2004) )  AND ( EXCLUDE ( DOCTYPE,""ch"" ) )  AND ( EXCLUDE ( DOCTYPE,""bk"" ) )  AND ( EXCLUDE ( DOCTYPE,""ed"" ) ) )"


Number of results : 22

"YEAR",
"2019","1"
"2018","1"
"2016","1"
"2014","3"
"2013","3"
"2012","1"
"2011","3"
"2010","4"
"2009","3"
"2008","1"
"2007","1"
